Volume Fraction,Matrix Material,Fibre Material,Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Type,Composite Yield Strain
0.35,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,0.0292
0.35,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,0.0292
0.35,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,0.0292
0.35,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,0.02975
0.35,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,0.02975
0.35,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,0.02975
0.4,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,0.0265
0.4,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,0.0263
0.4,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,0.02595
0.4,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,0.028
0.4,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,0.0278
0.4,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,0.0275
0.4,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,0.02675
0.4,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,0.02675
0.4,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,0.0264
0.4,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,0.0276
0.4,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,0.02765
0.4,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,0.0276
0.45,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,0.0236
0.45,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,0.0237
0.45,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,0.02375
0.45,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,0.0255
0.45,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,0.0255
