Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Composite Elastic Modulus (MPa)
0.25,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,9.41,6,4901.695652
0.25,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,9.41,6,4901.695652
0.25,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,9.41,6,4806.568182
0.25,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,9.41,6,4806.568182
0.25,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,9.41,6,4806.5684
0.3,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.3,6,5459.360481
0.3,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,10.3,6,5459.360481
0.3,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,10.3,6,5459.3607
0.3,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.1,10.3,6,5218.201764
0.3,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.2,10.3,6,5218.201764
0.3,1490,2662.557781,0.38,149.590164,2540,75000,0.2,0.3,10.3,6,5218.201764
0.3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.3,6,5376.203489
0.3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,10.3,6,5376.203489
0.3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,10.3,6,5376.20338
0.3,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.3,6,5256.262779
0.3,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,10.3,6,5256.262779
0.3,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,10.3,6,5256.262888
0.35,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.13,6,6526.261002
0.35,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.13,6,6526.261002
0.35,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.13,6,6526.261439
0.35,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.13,6,6163.622134
0.35,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.13,6,6163.622134
0.35,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.13,6,6163.622352
0.35,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.13,6,6405.295964
0.35,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.13,6,6405.295964
0.35,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.13,6,6405.295964
0.35,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.13,6,6226.88469
0.35,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.13,6,6226.88469
0.35,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.13,6,6226.88469
0.4,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.9,6,7545.756713
0.4,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.9,6,7545.756713
0.4,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.9,6,7545.756495
0.4,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.9,6,7044.94633
0.4,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.9,6,7044.94633
0.4,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.9,6,7044.946548
0.4,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.9,6,7380.562739
0.4,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.9,6,7380.562739
0.4,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.9,6,7380.562958
0.4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.9,6,7131.417149
0.4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.9,6,7131.417149
0.4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.9,6,7131.416931
