Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Tensile Strength 
0.25,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,9.41,6,190.8427719
0.25,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,9.41,6,192.9434235
0.25,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,9.41,6,185.6752452
0.25,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,9.41,6,190.5720295
0.25,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,9.41,6,192.6855
0.3,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.3,6,192.8421179
0.3,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,10.3,6,197.6578212
0.3,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,10.3,6,199.7451297
0.3,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,10.3,6,192.072083
0.3,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,10.3,6,197.135709
0.3,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,10.3,6,199.2661664
0.3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.3,6,192.575701
0.3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,10.3,6,197.4757097
0.3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,10.3,6,199.580962
0.3,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.3,6,192.1875837
0.3,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,10.3,6,197.2077068
0.3,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,10.3,6,199.3305227
0.35,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.13,6,218.6039394
0.35,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.13,6,224.0711492
