Volume Fraction,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Matrix Hardening Parameter,Temperature,Fiber Density,Fiber Elastic Modulus 1,Fiber Elastic Modulus 2,Fiber Elastic Modulus 3,Fiber Poisson 1,Fiber Poisson 2,Fiber Poisson 3,Fiber Shear 1,Fiber Shear 2,Fiber Shear 3,Yield Strength
0.32,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,168.7369992
0.33,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,169.4514541
0.34,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,177.939133
0.35,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,166.0437521
0.36,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,175.4480607
0.37,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,166.9119673
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,175.4154828
0.39,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,168.8950541
0.4,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,171.1935004
0.41,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,171.2757587
0.42,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,175.2234516
0.43,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,167.0454406
0.44,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,171.8168871
0.45,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,174.3379529
0.46,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,171.3710314
0.47,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,173.4720966
0.48,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,175.5485483
0.49,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,179.2153203
0.5,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,174.4281587
0.01,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,134.8323894
0.02,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,134.0841773
0.03,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,135.3184457
0.04,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,134.2411423
0.05,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,135.3126345
0.06,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,132.4181763
0.07,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,132.9744842
0.08,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,130.599672
0.09,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,130.0881958
0.1,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,127.9304122
0.11,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,128.7376913
0.12,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,129.5228065
0.13,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,128.966784
0.14,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,127.6711172
0.15,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,125.8399234
0.16,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,126.92069
0.17,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,122.7933523
0.18,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,126.6951718
0.19,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,126.6708587
0.2,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,126.2428363
0.21,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,129.017706
0.22,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,124.4031066
0.23,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,126.8154906
0.24,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,126.0760652
0.25,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,125.9993929
0.26,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,124.8656088
0.27,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,128.3279227
0.28,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,127.6689989
0.29,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,124.9467304
0.3,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,125.4036152
0.31,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,124.7751788
0.32,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,129.1309563
0.33,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,126.1770713
0.34,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,132.3500828
0.35,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,127.1547829
0.36,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,131.5064505
0.37,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,127.8486046
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,129.8464835
0.39,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,126.9654653
0.4,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,130.5220766
0.41,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,129.8361753
0.42,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,131.9578229
0.43,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,127.4165383
0.44,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,130.6620243
0.45,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,129.2340216
0.46,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,128.3452613
0.47,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,129.983314
0.48,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,132.1733111
0.49,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,134.6247695
0.5,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,130.4363535
0.01,1490,2576.271186,0.38,79.918033,0.346129167,333,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,109.4072064
0.02,1490,2576.271186,0.38,79.918033,0.346129167,333,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,110.8169717
