Volume Fraction,Matrix Material,Fibre Material,Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Type,Resilience
0.45,3,3,2070,0.36,1470,150000,0.35,0.1,2,0.3066
0.45,3,4,2070,0.36,2530,85000,0.21,0.1,2,0.3284
0.5,3,1,2070,0.36,1770,220000,0.2,0.1,2,0.3263
0.5,3,2,2070,0.36,2540,75000,0.22,0.1,2,0.3503
0.5,3,3,2070,0.36,1470,150000,0.35,0.1,2,0.3316
0.5,3,4,2070,0.36,2530,85000,0.21,0.1,2,0.3468
0.05,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.4491
0.05,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.4513
0.05,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.3992
0.05,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.4519
0.05,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.4554
0.05,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.4061
0.05,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.4503
0.05,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.4536
0.05,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.4019
0.05,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.4516
0.05,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.455
0.05,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.4051
0.1,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.3934
0.1,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.3883
0.1,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.374
0.1,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.4012
0.1,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.3956
0.1,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.3755
0.1,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.3957
0.1,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.3824
0.1,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.3747
0.1,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.4001
0.1,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.3855
0.1,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.3753
0.15,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.3405
0.15,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.343
0.15,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.3459
0.15,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.3477
0.15,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.349
0.15,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.3519
0.15,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.3431
0.15,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.3451
0.15,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.3482
0.15,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.3465
0.15,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.3479
0.15,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.3509
0.2,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.3199
0.2,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.3205
0.2,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.321
0.2,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.3283
0.2,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.33
0.2,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.3317
0.2,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.3217
0.2,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.3237
0.2,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.3248
0.2,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.3267
0.2,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.3282
0.2,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.3299
0.25,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.3244
0.25,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.3198
0.25,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.3142
0.25,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.3329
0.25,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.3308
0.25,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.329
0.25,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.3272
0.25,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.3234
0.25,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.3192
0.25,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.3312
0.25,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.3211
0.25,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.3264
0.3,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.3046
0.3,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.2933
0.3,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.2819
0.3,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.3139
0.3,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.3095
0.3,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.2691
0.3,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.3077
0.3,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.2954
0.3,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.2614
0.3,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.3121
0.3,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.3067
0.3,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.267
0.35,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.3125
0.35,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.308
0.35,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.2844
0.35,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.3242
0.35,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.3134
0.35,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.2732
0.35,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.3162
0.35,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.3095
0.35,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.2702
0.35,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.3221
0.35,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.3125
0.35,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.2721
0.4,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.3162
0.4,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.3184
0.4,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.2912
0.4,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.3271
0.4,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.3264
0.4,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.2912
0.4,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.3193
0.4,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.3208
0.4,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.291
0.4,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.3251
0.4,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.325
0.4,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.291
0.45,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.3101
0.45,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.3039
0.45,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.3264
0.45,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.3232
0.45,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.3258
0.45,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.314
0.45,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.3138
0.45,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.3146
0.45,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.3077
0.45,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.3217
0.45,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.3231
0.45,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.3126
0.5,4,1,1890,0.4,1770,220000,0.2,0.1,1,0.2725
0.5,4,1,1890,0.4,1770,220000,0.2,0.2,1,0.2674
0.5,4,1,1890,0.4,1770,220000,0.2,0.3,1,0.2733
0.5,4,2,1890,0.4,2540,75000,0.22,0.1,1,0.2883
0.5,4,2,1890,0.4,2540,75000,0.22,0.2,1,0.2886
0.5,4,2,1890,0.4,2540,75000,0.22,0.3,1,0.2894
0.5,4,3,1890,0.4,1470,150000,0.35,0.1,1,0.2772
0.5,4,3,1890,0.4,1470,150000,0.35,0.2,1,0.271
0.5,4,3,1890,0.4,1470,150000,0.35,0.3,1,0.2778
0.5,4,4,1890,0.4,2530,85000,0.21,0.1,1,0.2853
0.5,4,4,1890,0.4,2530,85000,0.21,0.2,1,0.2811
0.5,4,4,1890,0.4,2530,85000,0.21,0.3,1,0.2866
0.05,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.4072
0.05,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.4103
0.05,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.4076
0.05,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.4095
0.1,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.336
0.1,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.3439
0.1,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.3383
0.1,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.3419
0.15,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.2845
0.15,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.2939
0.15,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.2872
0.15,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.2909
0.2,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.2527
0.2,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.2655
0.2,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.2548
0.2,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.2619
0.25,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.2275
0.25,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.241
0.25,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.2311
0.25,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.2387
0.3,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.2238
0.3,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.2419
0.3,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.2285
0.3,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.2388
0.35,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.2001
0.35,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.2147
0.35,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.2039
0.35,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.2121
0.4,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.1883
0.4,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.2031
0.4,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.1944
0.4,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.2029
0.45,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.1931
0.45,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.2087
0.45,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.197
0.45,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.2059
0.5,4,1,1890,0.4,1770,220000,0.2,0.1,2,0.2283
0.5,4,2,1890,0.4,2540,75000,0.22,0.1,2,0.2304
0.5,4,3,1890,0.4,1470,150000,0.35,0.1,2,0.2279
0.5,4,4,1890,0.4,2530,85000,0.21,0.1,2,0.2283
