Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size,Composite Yield Strength (Mpa)
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,9.41,1,6,158.4300
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,9.41,1,6,158.4100
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,9.41,1,6,157.8500
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.3,1,6,158.0400
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,10.3,1,6,158.1250
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,10.3,1,6,158.2950
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,10.3,1,6,158.2650
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,10.3,1,6,158.4850
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,10.3,1,6,158.0550
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.3,1,6,158.1350
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,10.3,1,6,158.0500
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,10.3,1,6,158.2150
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.3,1,6,158.2090
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,10.3,1,6,157.9500
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,10.3,1,6,158.1000
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.13,1,6,173.5000
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.13,1,6,172.5250
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.13,1,6,170.7500
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.13,1,6,173.5000
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.13,1,6,173.4500
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.13,1,6,173.5000
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.13,1,6,173.7500
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.13,1,6,173.4000
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.13,1,6,173.3000
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.13,1,6,173.4000
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.13,1,6,173.5000
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.13,1,6,173.5000
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.9,1,6,183.7500
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.9,1,6,183.6000
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.9,1,6,180.9000
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.9,1,6,183.3000
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.9,1,6,181.9000
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.9,1,6,179.5000
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.9,1,6,183.2500
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.9,1,6,182.6000
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.9,1,6,180.0000
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.9,1,6,183.4000
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.9,1,6,183.1000
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.9,1,6,182.5000
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,12.62,1,6,193.5000
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,12.62,1,6,193.4000
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,12.62,1,6,193.6500
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,12.62,1,6,192.8500
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,12.62,1,6,193.0000
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,12.62,1,6,191.5000
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,12.62,1,6,192.9500
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,12.62,1,6,192.5000
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,12.62,1,6,192.7500
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,12.62,1,6,193.0000
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,12.62,1,6,193.0000
