Volume Fraction,Matrix Material,Fibre Material,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Composite Elastic Modulus
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,9.41,1,4806.5684
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.3,1,5459.3605
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,10.3,1,5459.3605
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,10.3,1,5459.3607
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,10.3,1,5218.2018
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,10.3,1,5218.2018
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,10.3,1,5218.2018
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.3,1,5376.2035
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,10.3,1,5376.2035
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,10.3,1,5376.2034
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.3,1,5256.2628
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,10.3,1,5256.2628
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,10.3,1,5256.2629
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.13,1,6526.261
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.13,1,6526.261
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.13,1,6526.2614
