Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size,Composite Elastic Modulus (MPa)
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,8.4,1,6,4239.2335
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,8.4,1,6,4239.2335
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,8.4,1,6,4239.2337
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,8.4,1,6,4336.3602
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,8.4,1,6,4336.3602
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,8.4,1,6,4336.3603
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,8.4,1,6,4265.0406
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,8.4,1,6,4265.0406
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,8.4,1,6,4265.0405
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,9.41,1,6,4968.7131
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,9.41,1,6,4968.7131
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,9.41,1,6,4968.7128
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,9.41,1,6,4772.0559
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,9.41,1,6,4772.0559
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,9.41,1,6,4772.0563
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,9.41,1,6,4901.6957
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,9.41,1,6,4901.6957
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,9.41,1,6,4901.6957
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,9.41,1,6,4806.5682
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,9.41,1,6,4806.5682
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,9.41,1,6,4806.5684
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.3,1,6,5459.3605
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,10.3,1,6,5459.3605
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,10.3,1,6,5459.3607
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,10.3,1,6,5218.2018
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,10.3,1,6,5218.2018
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,10.3,1,6,5218.2018
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.3,1,6,5376.2035
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,10.3,1,6,5376.2035
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,10.3,1,6,5376.2034
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.3,1,6,5256.2628
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,10.3,1,6,5256.2628
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,10.3,1,6,5256.2629
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.13,1,6,6526.2610
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.13,1,6,6526.2610
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.13,1,6,6526.2614
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.13,1,6,6163.6221
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.13,1,6,6163.6221
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.13,1,6,6163.6224
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.13,1,6,6405.2960
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.13,1,6,6405.2960
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.13,1,6,6405.2960
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.13,1,6,6226.8847
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.13,1,6,6226.8847
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.13,1,6,6226.8847
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.9,1,6,7545.7567
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.9,1,6,7545.7567
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.9,1,6,7545.7565
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.9,1,6,7044.9463
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.9,1,6,7044.9463
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.9,1,6,7044.9465
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.9,1,6,7380.5627
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.9,1,6,7380.5627
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.9,1,6,7380.5630
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.9,1,6,7131.4171
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.9,1,6,7131.4171
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.9,1,6,7131.4169
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,12.62,1,6,8933.9141
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,12.62,1,6,8933.9141
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,12.62,1,6,8933.9147
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,12.62,1,6,8208.0485
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,12.62,1,6,8208.0485
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,12.62,1,6,8208.0485
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,12.62,1,6,8698.3934
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,12.62,1,6,8698.3934
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,12.62,1,6,8698.3932
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,12.62,1,6,8331.2856
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,12.62,1,6,8331.2856
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,12.62,1,6,8331.2858
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.3,1,6,9974.4816
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,13.3,1,6,9974.4816
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,13.3,1,6,9974.4813
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.3,1,6,9010.8474
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,13.3,1,6,9010.8474
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,13.3,1,6,9010.8479
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.3,1,6,9680.6391
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,13.3,1,6,9680.6391
